No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字７,数字Ｂ１,数字Ｂ２,１等口数,２等口数,３等口数,４等口数,５等口数,６等口数,１等金額,２等金額,３等金額,４等金額,５等金額,６等金額,キャリーオーバー,販売実績
110,2015/05/22,04,12,22,30,31,35,36,19,37,0,5,97,5982,107601,193433,0,24076400,1737400,16500,2200,1100,1552785590,2655778200
111,2015/05/29,07,08,09,24,28,30,33,01,34,1,20,462,9785,141811,216444,800000000,6520500,395100,10900,1800,1000,1156138945,2877021900
112,2015/06/05,06,07,10,15,27,35,36,13,20,0,11,185,7596,124932,200050,0,10423500,867600,12300,1800,1000,1500897975,2529515400
113,2015/06/12,04,06,07,09,15,17,37,14,20,0,5,143,8092,131713,197180,0,24776900,1212800,12500,1900,1100,1865147520,2733038100
114,2015/06/19,08,13,26,27,28,29,37,04,12,1,13,176,9938,149653,269436,800000000,10381400,1073500,11100,1800,900,1458876495,2977339500
115,2015/06/26,06,08,13,14,20,25,27,24,26,1,12,208,8562,132365,223347,800000000,10371300,837600,11900,1900,1000,1019016770,2745655500
116,2015/07/03,09,14,23,27,28,31,32,03,20,1,7,159,8032,121251,196929,800000000,16907200,1042000,12100,1900,1000,585423220,2610951000
117,2015/07/10,09,10,20,28,31,34,37,23,26,0,4,99,5050,87904,165536,0,27178600,1537300,17600,2500,1100,913053470,2398371000
118,2015/07/17,05,08,09,24,27,28,30,16,20,0,9,213,11376,140813,198944,0,11925600,705400,7700,1500,900,1243142375,2367852900
119,2015/07/24,03,06,08,14,15,25,36,24,35,1,90,223,11619,137464,229907,800000000,1234300,697400,7800,1600,800,784900955,2450804400
120,2015/07/31,02,16,18,26,32,35,37,09,36,0,5,125,5325,90974,163486,0,21086900,1180800,16200,2300,1100,1103234440,2326017300
121,2015/08/07,02,04,13,16,21,30,37,19,29,1,3,103,5189,87477,164610,800000000,35571400,1450400,16800,2400,1100,628349190,2354247000
122,2015/08/14,02,16,18,26,27,34,35,05,12,0,9,130,6455,91608,171725,0,11120500,1077800,12700,2200,1000,926503785,2207987100
123,2015/08/21,01,03,05,08,29,34,36,23,28,1,11,117,6184,112178,226852,800000000,10030800,1320200,14600,1900,800,472187410,2434204500
124,2015/08/28,01,02,15,17,18,22,36,06,27,1,6,94,5424,91676,178588,785704400,17461400,1560300,15800,2300,1000,0,2311323600
125,2015/09/04,01,06,11,14,19,28,35,18,21,0,4,146,6273,93226,138088,0,21167200,811800,11000,1800,1100,248655270,1867896600
126,2015/09/11,04,10,13,16,17,21,27,01,18,2,3,119,5526,89632,149649,265266200,31531800,1112800,14000,2100,1100,0,2086890900
127,2015/09/18,10,12,15,23,28,30,35,06,25,2,16,144,6662,97309,149636,125520200,5042700,784400,9900,1600,900,0,1779995400
128,2015/09/25,02,04,08,23,26,27,32,03,35,1,7,104,5578,84609,148326,233557500,11052200,1041400,11300,1800,900,0,1706776800
129,2015/10/02,05,07,11,19,24,27,30,29,35,1,10,141,6246,91513,140404,229587800,7828100,777200,10200,1700,1000,0,1726976400
130,2015/10/09,01,15,20,23,25,31,32,05,24,0,4,68,3633,62774,119695,0,18949300,1560500,17100,2400,1100,226123355,1672179900
131,2015/10/16,03,04,12,17,32,34,36,23,31,0,7,98,4936,82400,148373,0,12634400,1263400,14700,2100,1000,497901650,1951121100
132,2015/10/23,07,10,14,16,20,30,31,35,37,0,7,113,5432,89305,155506,0,14771100,1281000,15600,2300,1200,799493370,2281089600
133,2015/10/30,03,07,13,15,17,21,30,14,27,0,9,170,7575,119190,207611,0,12735100,943800,12400,1900,1000,1134284665,2528567100
134,2015/11/06,04,09,20,28,30,34,35,12,29,0,12,126,6497,114011,209075,0,9879700,1317200,14900,2100,1000,1481435860,2615507100
135,2015/11/13,08,09,13,14,24,32,34,03,04,0,7,169,7454,121932,223604,0,17695100,1026000,13600,2000,1000,1845014875,2732624700
136,2015/11/20,10,17,24,27,30,33,37,18,31,0,12,138,7501,120568,211203,0,10716600,1304600,14000,2100,1100,2222533760,2837073300
137,2015/11/27,13,19,21,25,27,32,35,16,20,1,25,192,8883,128611,209643,800000000,5282900,963000,12200,2000,1100,1820523185,2913688500
138,2015/12/04,02,05,17,20,21,32,33,30,35,1,9,154,6562,105002,177272,800000000,13318500,1089600,15000,2300,1200,1370182325,2644411200
139,2015/12/11,09,16,18,21,23,34,35,04,36,0,10,143,7128,111609,201359,0,11434100,1119400,13100,2000,1000,1712940710,2522505300
140,2015/12/18,03,11,12,13,17,26,35,01,33,0,5,141,8119,130651,217378,0,24262700,1204500,12200,1800,1000,2074538935,2676328500
141,2015/12/25,02,10,18,30,31,32,36,21,29,1,6,161,7645,122514,210961,800000000,22037800,1149700,14200,2100,1100,1672001745,2917081800
142,2016/01/08,06,12,14,18,21,27,28,01,33,0,20,180,9004,142612,245135,0,6745000,1049200,12300,1900,1000,2060628715,2976066600
143,2016/01/15,01,03,08,14,28,29,33,04,31,0,18,218,10077,147524,235436,0,7204200,832700,10500,1700,1000,2444749620,2860800900
144,2016/01/22,02,09,13,18,22,32,36,17,26,1,21,249,10143,147247,245690,800000000,6503100,767800,11000,1800,1000,2050454225,3012798900
145,2016/01/29,10,12,18,28,29,30,35,04,19,0,18,194,9476,139105,234198,0,6993600,908400,10900,1800,900,2433616350,2777182500
146,2016/02/05,04,10,25,27,28,33,34,15,35,1,11,160,8350,136343,239815,800000000,12190200,1173200,13100,1900,1000,2034765345,2958233100
147,2016/02/12,01,05,07,12,15,24,25,08,14,2,18,198,10536,150535,235286,800000000,6995700,890300,9800,1600,900,826803760,2778014700
148,2016/02/19,01,09,11,16,20,30,34,12,33,0,15,117,6038,103270,179666,0,7948400,1426600,16200,2300,1200,1173362780,2630295600
149,2016/02/26,01,04,15,19,22,23,31,12,32,1,8,160,7774,121130,192840,800000000,14895800,1042600,12500,1900,1100,730966110,2628959400
150,2016/03/04,06,07,14,20,27,31,34,11,24,1,12,171,6898,105383,181216,800000000,9273400,911000,13200,2100,1100,256955660,2454993000
151,2016/03/11,09,10,13,15,21,22,24,04,08,0,9,97,5598,95911,194859,0,11155700,1449000,14700,2100,900,553668980,2214987600
152,2016/03/18,08,12,17,21,23,24,31,06,07,1,17,130,7742,116837,197700,800000000,6175600,1130500,11100,1800,900,69792960,2316104400
153,2016/03/25,07,09,10,16,20,28,37,02,33,1,12,115,5753,91889,158231,362456100,7885800,1152000,13500,2000,1000,0,2087660700
154,2016/04/01,02,04,19,21,24,28,35,03,13,1,15,127,5988,92287,163911,257297800,5671400,937700,11600,1800,900,0,1876786800
155,2016/04/08,02,09,13,18,22,24,26,10,37,1,11,161,6403,88855,138643,251995000,7583900,725400,10700,1900,1000,0,1840415400
156,2016/04/15,04,09,16,19,22,33,34,17,36,1,5,138,5663,82668,131839,259663500,16995300,862000,12300,2000,1100,0,1874688600
157,2016/04/22,05,09,16,26,28,29,32,01,37,0,6,112,4754,80218,129228,0,13780700,1033500,14200,2000,1100,252322715,1824116700
158,2016/04/29,03,06,07,30,32,36,37,05,20,1,7,109,4614,84564,141718,535280700,13303800,1196100,16500,2200,1100,0,2054491500
159,2016/05/06,10,14,17,21,23,27,31,16,24,0,5,127,5520,83349,127314,0,15896900,876100,11800,1900,1100,234794530,1753529400
160,2016/05/13,01,02,08,24,32,36,37,23,33,2,5,94,6795,87158,151192,255795700,18657900,1389400,11200,2100,1100,0,2058082500
161,2016/05/20,08,14,17,18,20,22,34,04,30,0,6,69,4314,70156,128448,0,13320500,1621600,15200,2300,1100,233401615,1763198700
162,2016/05/27,02,07,08,12,14,23,27,06,10,1,15,156,8086,112419,178019,500555900,6029500,811600,9100,1600,900,0,1995281100
163,2016/06/03,01,02,06,16,28,30,31,03,07,1,7,118,5118,79064,150062,237793900,11300600,938500,12600,2000,900,0,1745137200
164,2016/06/10,03,13,20,23,31,35,36,02,11,0,4,92,4328,67249,127590,0,19067900,1160600,14400,2300,1000,229558135,1682646300
165,2016/06/17,09,11,14,15,16,18,27,06,20,0,3,96,5542,100873,163858,0,32554300,1424200,14400,1900,1000,529403390,2154561900
166,2016/06/24,14,20,27,29,30,31,37,23,34,0,9,103,5210,90495,159868,0,11749100,1437200,16600,2300,1200,838919740,2332791000
167,2016/07/01,01,03,05,07,10,26,36,19,37,2,16,175,8295,126796,199765,596966700,7293200,933500,11500,1800,1000,0,2574350400
168,2016/07/08,03,09,12,14,19,20,36,02,05,0,8,96,4707,79672,142639,0,10278400,1199100,14300,2000,1000,249683290,1814038200
169,2016/07/15,01,05,10,20,21,28,30,25,26,0,9,145,7713,101092,143001,0,10458600,908800,10000,1800,1100,541842255,2076575700
170,2016/07/22,03,05,06,09,27,32,36,12,24,1,9,126,7099,111780,198470,800000000,11318500,1131800,11700,1800,900,45774325,2247312600
171,2016/07/29,01,02,06,21,23,27,28,11,16,1,6,112,5675,94440,169580,308533500,14778000,1108300,12800,1900,900,0,1956121800
172,2016/08/05,05,20,21,27,30,31,36,09,26,1,10,143,5836,82221,134057,229139600,7737500,757500,10800,1900,1000,0,1706984100
173,2016/08/12,07,09,19,22,24,27,30,04,28,0,9,96,4599,76223,151261,0,8179800,1073500,13100,1900,800,228099815,1624118700
174,2016/08/19,10,13,14,15,23,31,32,04,29,3,7,109,5268,86852,160305,170269900,13318400,1197400,14500,2100,1000,0,2056746000
175,2016/08/26,06,17,21,31,33,35,37,14,18,0,3,93,4005,70659,124654,0,26441700,1194100,16200,2200,1100,239677540,1750009200
176,2016/09/02,01,11,12,17,22,30,35,15,16,0,5,89,5367,87754,148588,0,18978800,1492600,14500,2100,1100,528455810,2093478600
177,2016/09/09,09,15,19,23,25,34,36,02,35,1,9,142,6691,108184,184822,800000000,11551700,1025000,12700,1900,1000,35718160,2293611000
178,2016/09/16,06,09,11,15,26,34,36,13,37,0,8,93,5206,84160,137192,0,11013900,1326300,13900,2100,1100,298979855,1943843100
179,2016/09/23,04,09,12,13,22,26,36,05,33,1,8,150,6573,100985,168946,581403600,11980000,894400,11900,1900,1000,0,2114355600
180,2016/09/30,01,08,11,21,23,25,28,05,37,0,14,109,5735,89930,153913,0,5721300,1028700,11400,1800,900,237187815,1767086700
181,2016/10/07,07,08,10,13,19,23,24,15,27,0,7,130,6491,102655,189360,0,13205000,995400,11600,1800,800,521445450,2039238300
182,2016/10/14,01,07,10,11,20,23,30,03,37,0,28,203,9719,117841,189068,0,3682100,711000,8700,1700,900,842496950,2274510000
